id,Expected
0,2.302571068631278
1,8.431227229410318
2,3.792434363981398
3,3.9568856564177306
4,7.134474809701453
5,8.078996326817014
6,5.544074671462857
7,6.745029361247299
8,2.8164493979924696
9,8.79388610034718
10,5.624755361592447
11,10.749970733170858
12,8.215972341088886
13,6.8463755112492155
14,3.8913915025485224
15,4.258655701454956
16,4.562694151460705
17,1.875106744472376
18,5.104099473537124
19,8.230904485888512
20,4.497570018248975
21,8.054897611888464
22,4.094402108659068
23,4.1989271222564515
24,2.801517253192843
25,5.74103365639399
26,2.9476598375936383
27,4.165935683612497
28,5.987732538636024
29,5.089167328737497
30,5.426248931937965
31,3.37512416175254
32,6.100730444445615
33,7.037568921509644
34,6.35457690603926
35,8.793229659298014
36,5.121840461274738
37,8.356719371476457
38,3.9568856564177306
39,4.9367876236120365
40,7.209135533699585
41,6.6033270386566105
42,9.494396597809448
43,7.526106592680411
44,8.275700920287392
45,3.667409330554129
46,8.524470507857504
47,7.938619317086922
48,5.991701254392168
49,8.77385725268828
50,5.1190316183367495
51,9.381953607652541
52,7.092857238898043
53,4.9509299162509866
54,10.15349424829925
55,3.667409330554129
56,5.755965801193615
57,6.22178676211674
58,6.251313290656516
59,4.138880236951234
60,7.78311246291676
61,4.926461180664958
62,6.61381892164613
63,6.355786589703134
64,6.337255749804843
65,3.8882126389530556
66,4.232441821505134
67,6.849554374844683
68,3.4199205961514183
69,6.925794803164166
70,4.512502163048602
71,5.015735743356003
72,6.7801237648173345
73,3.9487310703122365
74,8.391979215088933
75,6.358392755731133
76,5.256548070578087
77,5.563817098730069
78,3.5212667461533345
79,8.642646813087111
80,7.191732680904426
81,0.8618106844956568
82,5.1190316183367495
83,3.906323647348149
84,4.828293894258509
85,5.464018393451502
86,5.946904819993289
87,7.2463645572436555
88,4.154130687857573
89,2.801517253192843
90,6.868875066903649
91,6.3223236050052165
92,7.540668716822558
93,3.9898770950616846
94,7.731168449166271
95,10.159832520537421
96,4.234830832939926
97,6.65861535604501
98,6.2767373184456625
99,6.092156026836923
100,4.577626296260331
101,5.838309565243278
102,5.465025400205386
103,5.223186611276654
104,7.135131250750622
105,5.604274796715325
